代码,名称,净利润增长率_2017,净利润增长率_2016,净利润增长率_2015
8,神州高铁,67.6796,179.36599999999999,2345.2654
58,深赛格,116.5675,31.7329,37.2352
429,粤高速A,45.879,117.3327,50.3221
488,晨鸣纸业,85.8475,106.8249,115.7318
507,珠海港,37.9699,49.2513,375.8593
732,泰禾集团,36.1475,35.5398,77.5239
756,新华制药,66.2933,41.5265,37.5711
821,京山轻机,63.4534,49.1229,198.9388
910,大亚圣象,38.0606,36.7781,42.5437
967,盈峰环境,44.6852,127.0248,56.5072
980,众泰汽车,1204.2675,43.9291,43.9334
2006,精功科技,63.785,310.2331,45.75899999999999
2016,世荣兆业,938.8707,41.5016,790.1749
2019,亿帆医药,85.2013,88.8034,52.1242
2027,分众传媒,34.2984,31.3689,51267.4479
2042,华孚时尚,37.0868,51.0226,103.0716
2043,兔宝宝,41.1336,165.6254,123.5394
2044,美年健康,83.434,32.274,534.5933
2078,太阳纸业,94.2774,53.3837,38.056999999999995
2087,新野纺织,41.2784,76.9723,41.5931
2094,青岛金王,123.0865,76.2787,129.9348
2121,科陆电子,66.8636,37.1565,56.6269
2127,南极电商,76.7317,75.9272,1344.4203
2129,中环股份,46.2593,90.0708,61.5683
2171,楚江新材,89.477,150.829,35.6304
2195,二三四五,50.1672,51.9921,267.8351
2217,合力泰,33.5384,301.9928,47.5168
2258,利尔化学,96.2491,54.4138,52.0612
2279,久其软件,62.7156,62.7595,81.1431
2320,海峡股份,44.4544,35.403,39.5723
2322,理工环科,85.3303,41.4467,75.7804
2332,仙琚制药,57.1575,39.9713,114.2692
2343,慈文传媒,35.3613,50.3834,194.0102
2354,天神娱乐,127.3411,53.0704,52.2883
2356,赫美集团,35.736999999999995,60.6289,159.8471
2370,亚太药业,59.5362,125.301,39.2453
2380,科远股份,31.013,40.3151,40.3692
2383,合众思壮,149.4459,54.5592,71.2747
2402,和而泰,50.9161,61.2126,61.2801
2416,爱施德,101.2961,43.0898,193.1231
2425,凯撒文化,81.9247,173.1786,3185.9376
2445,中南文化,37.8585,52.0752,112.9617
2460,赣锋锂业,215.5395,272.9394,47.865
2461,珠江啤酒,55.4924,30.9539,39.4421
2466,天齐锂业,46.181999999999995,319.5497,51.261
2503,搜于特,94.1179,101.1424,60.4094
2511,中顺洁柔,34.0412,195.2699,30.6567
2536,西泵股份,123.4597,87.2815,41.1695
2537,海联金汇,70.4577,187.4164,77.8002
2555,三七互娱,50.9449,31.9974,1472.7435
2562,兄弟科技,110.9614,86.6927,162.7124
2572,索菲亚,41.8948,41.0706,36.7436
2589,瑞康医药,102.7121,177.6553,33.7655
2597,金禾实业,85.4613,206.2969,33.2559
2599,盛通股份,152.8147,88.484,70.4438
2601,龙蟒佰利,463.6411,286.1125,84.9089
2614,奥佳华,33.8359,45.8953,31.2568
2619,艾格拉斯,93.2984,34.7607,2135.0443
2636,金安国纪,57.5428,530.21,31.0573
2640,跨境通,79.0775,157.2855,480.506
2680,ST长生,32.452,46.2342,1966.4416
2685,华东重机,213.6869,134.2673,88.2001
2717,岭南股份,98.1692,54.9914,44.0392
2821,凯莱英,30.6395,62.3908,49.2601
2859,洁美科技,42.0685,54.6662,60.7013
2925,盈趣科技,120.32700000000001,170.377,39.7311
300014,亿纬锂能,37.371,89.9053,105.1822
300053,欧比特,42.5464,43.9091,132.6803
300061,康旗股份,181.3337,102.4838,34.9636
300065,海兰信,41.4808,205.9913,99.6869
300072,三聚环保,62.3612,100.7155,98.0716
300088,长信科技,54.6312,47.3225,45.8823
300097,智云股份,98.9314,46.272,152.6494
300099,精准信息,126.8734,38.3439,297.8582
300136,信维通信,70.0603,136.576,250.9017
300158,振东制药,50.4049,250.0912,59.8062
300166,东方国信,31.6062,46.4413,69.0563
300176,鸿特科技,880.1242,30.959,139.69799999999998
300193,佳士科技,42.363,37.9214,52.2017
300201,海伦哲,83.5154,249.7367,52.161
300221,银禧科技,43.2127,290.0353,69.7364
300230,永利股份,88.1386,69.8694,60.9215
300237,美晨生态,38.9597,115.0827,106.3751
300241,瑞丰光电,164.8619,50.5954,40.1707
300244,迪安诊断,37.3255,89.0256,39.8372
300248,新开普,40.3964,41.0613,59.4868
300271,华宇软件,36.6248,31.5134,39.4406
300285,国瓷材料,79.3355,47.0994,35.796
300294,博雅生物,31.4808,66.1555,44.9993
300296,利亚德,81.7416,100.6575,102.7194
300297,蓝盾股份,36.2685,165.8394,229.9351
300316,晶盛机电,101.9472,62.5268,76.0274
300331,苏大维格,174.1945,694.1957,114.5132
300343,联创互联,97.884,623.8325,134.0002
300365,恒华科技,43.0289,47.4743,50.2631
300376,易事特,51.7441,68.7906,61.0989
300388,国祯环保,41.361999999999995,80.4759,53.6385
300410,正业科技,174.6134,85.1441,35.036
300422,博世科,136.7342,42.7351,37.2755
300438,鹏辉能源,82.2421,60.0247,43.8524
300447,全信股份,35.9976,31.213,45.9565
300450,先导智能,84.929,99.6775,122.181
300459,金科文化,86.5791,295.7125,53.1423
300601,康泰生物,149.0369,37.2353,101.5933
300603,立昂技术,126.5529,36.4672,58.0294
300628,亿联网络,36.6546,74.5911,64.4554
300630,普利制药,41.0239,37.625,38.2835
300673,佩蒂股份,32.8407,38.9077,108.7484
300677,英科医疗,68.1891,34.3235,102.2713
300724,捷佳伟创,115.8219,193.2662,49.7309
300732,设研院,77.5073,159.7077,34.2711
300740,御家汇,117.8902,36.9982,58.1224
300747,锐科激光,216.5504,272.0336,76.7237
300750,宁德时代,43.708999999999996,207.0161,1610.7923
600055,万东医疗,47.8412,60.3086,68.0546
600057,厦门象屿,47.7336,45.5723,30.1014
600093,易见股份,34.5147,88.804,894.0327
600162,香江控股,30.8477,97.4607,32.5321
600176,中国巨石,41.1372,54.958999999999996,108.4005
600260,凯乐科技,227.6046,98.8708,141.1947
600297,广汇汽车,48.0311,43.6401,6113.3814
600298,安琪酵母,54.5523,81.2245,80.2422
600326,西藏天路,66.3035,73.1566,80.8405
600330,天通股份,41.6847,52.7745,466.3317
600338,西藏珠峰,71.9849,363.6858,1246.0885
600365,通葡股份,33.3592,37.2035,553.6062
600415,小商品城,40.3926,51.4019,63.0535
600477,杭萧钢构,73.4223,206.4096,94.9689
600487,亨通光电,46.7875,119.7003,80.8028
600515,海航基础,99.8336,1660.2879999999998,71.1056
600525,长园集团,72.0809,37.6318,32.4707
600566,济川药业,30.9926,36.7792,31.5227
600567,山鹰纸业,462.9114,72.9493,87.463
600590,泰豪科技,88.7944,36.1914,73.3566
600604,市北高新,96.7155,31.5216,836.6397
600667,太极实业,33.0723,195.595,30.5339
600708,光明地产,72.3881,129.358,139.3656
600737,中粮糖业,47.7119,645.6529,158.683
600751,海航科技,191.4525,65.2703,213.8783
600856,中天能源,52.8568,74.2055,101898.6647
600867,通化东宝,31.4284,30.4331,77.2133
601012,隆基股份,128.8376,197.8602,74.3918
601155,新城控股,98.3677,31.5191,33.8807
601238,广汽集团,71.8804,57.1399,36.8698
601599,鹿港文化,42.7377,66.0625,98.9516
603019,中科曙光,36.0414,33.7511,52.0938
603165,荣晟环保,225.7466,59.0096,39.9272
603260,合盛硅业,134.6249,156.8654,48.0289
603338,浙江鼎力,61.8112,39.1527,36.7382
603387,基蛋生物,40.0942,32.0015,40.538000000000004
603601,再升科技,46.328,56.6672,39.9699
603660,苏州科达,55.052,46.3678,131.0955
603666,亿嘉和,153.373,305.9205,39.6846
603730,岱美股份,30.9877,39.9759,39.4637
603869,新智认知,53.7815,151.8581,37.4893
603871,嘉友国际,41.7059,41.8102,79.9992
